Subject,Conf_Rat,avg_dev,num_weights,BDev,Mem
5cfbdcec8483c6001930c1b1,High,1.411764706,17,0.676470588,Exp
5db6ff8c7f9e6b000dd24a19,High,0.882352941,17,0.610294118,Exp
5e2093a7e10aa2000c631268,Low,0,11,0.5,Exp
5c8676deddda2d00012ad386,Low,0.785714286,14,0.598214286,Exp
5e876872ca754f08ceb52e9e,High,-0.071428571,14,0.491071429,Exp
5d4702f04f947a0001181420,High,0.176470588,16,0.522058824,Exp
5cfea2427b91e70001423ffb,Med,0.166666667,13,0.520833333,Exp
5ea9024a58a5ae36f0416ed6,Med,-0.066666667,15,0.491666667,Exp
5ebc75d16a8f8f0c09ba480b,High,0.571428571,10,0.571428571,Exp
5e13d5a0398bb6a1517fab4c,Low,-0.076923077,14,0.490384615,Exp
5cf7bfff528ef50001e96f69,Low,0.066666667,15,0.508333333,Exp
5e9b061b5eb4e3000a5ebc0b,High,0.8,7,0.6,Exp
56ec151f388e1d000a5924d0,Low,-0.222222222,10,0.472222222,Exp
5e0e32ee1d4607573dc85b1f,Med,1.117647059,17,0.639705882,Exp
58474a9c89af6500017f4cd6,Low,0.117647059,17,0.514705882,Exp
5ecacb83b7f79d242d455216,High,1.727272727,12,0.715909091,Exp
5e7f64a99b18e463f74b0c91,Low,-0.153846154,13,0.480769231,Exp
5e84cf62eabe5c081ea860c5,Low,0.833333333,6,0.604166667,Exp
5ea523b2a7782138712c7e1b,High,1.285714286,14,0.660714286,Exp
5e602d66bc402a381b35f74a,Low,0.375,8,0.546875,Exp
5e1276f7e69d0a912635da16,Low,0.25,13,0.53125,Exp
5d9373b0e04970001ab482da,High,0.5,7,0.5625,Exp
559ef308fdf99b2616ff2a4f,Med,-0.333333333,9,0.458333333,Exp
5ca272f5caf59c0001a942cb,High,0.5,16,0.5625,Exp
5b25c819a7cee100011d9091,Low,-0.4375,16,0.4453125,Exp
5e3cba059e9d0b0b3663c90c,Low,0.461538462,14,0.557692308,Exp
5bd9fed6780d50000109c503,Low,-0.125,9,0.484375,Exp
